WC ID;SKU WC;Nombre WC;Odoo ID;Referencia Odoo;Nombre Odoo;Variantes;Tipo Odoo
394729;HMK-001;KIT FIJACIÓN ECO BASTIDORES MAGNÉTICOS.;1729;HMK-001;KIT FIJACIÓN ECO BASTIDORES MAGNÉTICOS.;1;product
420502;FRA48010;ONE-POINT FRAME (SMALL);1874;FRA48010;ONE-POINT FRAME (SMALL);1;product
420503;FRA48160;BASTIDOR MANGAS Y PERNERAS ORIGINAL HAPPY;1875;FRA48160;BASTIDOR-ONE POINT (EXTRA LARGE) MANGAS Y PERNERAS ORIGINAL HAPPY;1;product
465289;CAUT13102;MÁQUINA BOBINADORA DE CANILLAS AUTOMÁTICA. (CANILLERO);1332;CAUT13102;MÁQUINA BOBINADORA DE CANILLAS AUTOMÁTICA. (CANILLERO);1;product
621844;EMBROIDERYERASER;BORRADOR DE BORDADOS;1921;EMBROIDERYERASER;BORRADOR DE BORDADOS;1;product
622618;FRA21D10;BASTIDOR PINZAS HAPPY HCD2, HCD3. PARA CALZADO, BOTAS, ETC.;1614;FRA21D10;BASTIDOR PINZAS HAPPY HCD2, HCD3. PARA CALZADO, BOTAS, ETC.;1;product
671502;FRA21D00;BASTIDOR PINZAS HAPPY HCH+, HCS2. PARA CALZADO, BOTAS, ETC.;1949;FRA21D00;BASTIDOR PINZAS HAPPY HCH+, HCS2. PARA CALZADO, BOTAS, ETC.;1;product
887206;HSA04021;CAJA BOBINA ORIGINAL HAPPY;1295;HSA04021;CAJA BOBINA ORIGINAL HAPPY;1;product
887211;HSA04031;CAJA BOBINA ORIGINAL HAPPY PARA CANILLA PREBOBINADA;1374;HSA04031;CAJA BOBINA ORIGINAL HAPPY PARA CANILLA PREBOBINADA;1;product
916176;HCS3-1201-40;HAPPY HCS3-1201-40;1955;HCS3-1201-40;HAPPY HCS3-1201-40;1;product
974879;HCD79161;VENTILADOR HAPPY HCD2;2038;HCD79161;VENTILADOR HAPPY HCD2;1;product
1101581;FRA48020;ONE-POINT FRAME (LARGE);1884;FRA48020;ONE-POINT FRAME (LARGE);1;product
1104075;TECH 12;BASTIDOR TUBULAR TECH 12CM TIPO HAPPY;1422;TECH 12;BASTIDOR TUBULAR TECH 12CM TIPO HAPPY;1;product
1124954;FRA40542;BASTIDOR HAPPYJAPAN DE MADERA 42x44 CM.;1912;FRA40542;BASTIDOR HAPPYJAPAN DE MADERA 42x44 CM.;1;product
1124957;FRA40013;Set Tornillo ajuste para bastidor cuadrado HAPPY/ADJUSTING SCREW SET FOR PTA SQUARE FRAME;1923;FRA40013;SET TORNILLO AJUSTE PARA BASTIDOR CUADRADO HAPPY;1;product
1144927;TS2055NEGRA;ENTRETELA NEGRA DE VISCOSA SUAVE, 55 GRAMOS;2064;TS2055NEGRA;ENTRETELA NEGRA DE VISCOSA SUAVE, 55 GRAMOS;1;product
1169299;GS3V;LECTOR USB PARA TODAS LAS MARCAS DE MAQUINAS DE BORDAR;2221;GS3V;LECTOR USB PARA TODAS LAS MARCAS DE MAQUINAS DE BORDAR;1;product
1189784;105WL;ENTRETELA BASE DE ARRANCAR, 105 GRAMOS;3508;105WL;ENTRETELA BASE DE ARRANCAR, 105 GRAMOS;1;product
1189786;70WL;ENTRETELA BASE DE ARRANCAR, 70 GRAMOS;3507;70WL;ENTRETELA BASE DE ARRANCAR, 70 GRAMOS;1;product
1189889;HILOCANILLA;HILO CANILLA 125000M;2369;HILOCANILLA;HILO CANILLA 125000M;1;product
1189926;ISAMET 2943-0490;HILO METÁLICO ISAMET ORO 0490;3501;ISAMET 2943-0490;HILO METÁLICO ISAMET ORO 0490;1;product
1189929;ISAMET 2943-0491;HILO METÁLICO ISAMET ORO 0491;3494;ISAMET 2943-0491;HILO METÁLICO ISAMET ORO 0491;1;product
