ID producto;Referencia interna;Nombre;Origen;Stock;Pedidos;Accion recomendada
3331;PEC-1204;"- MAQUINA DE BORDAR SINSIM DE CUATRO CABEZALES Y 12 AGUJAS, CON CAMPO DE TRABAJO DE 400X400, EQUIPADA CON GARFIO JAPONÉS, MONITOR DE 10 PULGADAS, CONDUCCIÓN DE BASTIDOR SUSPENDIDA PARA UN MAYOR APROVECHAMIENTO DEL ESPACIO DE BORDADO Y TECNOLOGÍA SERVOMOTOR.

- VELOCIDAD 1200 RPM. 
- GARFIO JAPONES HIROSE.
- PANEL S10 PRO, CON CONVERSION DE ARCHIVOS JPG DIRECTAMENTE A DST.
- CAMBIO DE COLOR AUTOMATICO
- FUNCIÓN DE AVANCE Y RETROCESO DEL BASTIDOR CON UN SOLO TOQUE
- FUNCION CORTE DE HILO AUTOMATICO
- ALARMA AUTOMATICA LIMITE DEL DISEÑO
- ILUMINACION LED FRONTAL
- FUNCION TRANSMISION DEL DISEÑO INHALAMBRICO
- FUNCION SELECCION DEL BASTIDOR
- RESTABLECIMIENTO POR FALLO DE CORRIENTE EN UN SOLO TOQUE. OPCIONAL: SISTEMA RECONOCIMIENTO


INCLUYE:
8 X Aro 70, 8 X Aro 110, 8 X Aro 150, 8 X Aro 190, 8 X Aro 270*270 , 8 X Aro 530*330, 1 X Kit de Gorras, Bobinador de Canillas, 1 X Mesa plana, 1 X Bastidor Portal, 1 X Soporte de máquina.";import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3264;PEC-Y240-1201;SINSIM PEC-Y240-1201;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3330;PEC-Y400-1201;"- MAQUINA DE BORDAR DE UN CABEZAL Y 12 AGUJAS CON CAMPO DE TRABAJO DE 600X400, EQUIPADA CON GARFIO JAPONÉS, MONITOR DE 10 PULGADAS, CONDUCCIÓN DE BASTIDOR SUSPENDIDA PARA UN MAYOR APROVECHAMIENTO DEL ESPACIO DE BORDADO Y TECNOLOGÍA SERVOMOTOR.

- VELOCIDAD 1200 RPM.
- GARFIO JAPONES HIROSE.
- PANEL S10 PRO, CON CONVERSION DE ARCHIVOS JPG DIRECTAMENTE A DST.
- CAMBIO DE COLOR AUTOMATICO
- FUNCIÓN DE AVANCE Y RETROCESO DEL BASTIDOR CON UN SOLO TOQUE
- FUNCION CORTE DE HILO AUTOMATICO
- ALARMA AUTOMATICA LIMITE DEL DISEÑO
- ILUMINACION LED FRONTAL
- FUNCION TRANSMISION DEL DISEÑO INHALAMBRICO
- FUNCION SELECCION DEL BASTIDOR
- RESTABLECIMIENTO POR FALLO DE CORRIENTE EN UN SOLO TOQUE. OPCIONAL: SISTEMA RECONOCIMIENTO


INCLUYE:
2 X Aro 70, 2 X Aro 110, 2 X Aro 150, 2 X Aro 190, 2 X Aro 270*270 , 2 X Aro 530*330, 1 X Kit de Gorras, Bobinador de Canillas, 1 X Mesa plana, 1 X Bastidor Portal, 1 X Soporte de máquina.";import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3336;PEC-Y600-1201;"- MAQUINA DE BORDAR DE UN CABEZAL Y 12 AGUJAS CON CAMPO DE TRABAJO DE 1200X600, EQUIPADA CON GARFIO JAPONÉS, MONITOR DE 10 PULGADAS, CONDUCCIÓN DE BASTIDOR SUSPENDIDA PARA UN MAYOR APROVECHAMIENTO DEL ESPACIO DE BORDADO Y TECNOLOGÍA SERVOMOTOR.

- VELOCIDAD 1200 RPM.
- GARFIO JAPONES HIROSE.
- PANEL S10 PRO, CON CONVERSION DE ARCHIVOS JPG DIRECTAMENTE A DST.
- CAMBIO DE COLOR AUTOMATICO
- FUNCIÓN DE AVANCE Y RETROCESO DEL BASTIDOR CON UN SOLO TOQUE
- FUNCION CORTE DE HILO AUTOMATICO
- ALARMA AUTOMATICA LIMITE DEL DISEÑO
- ILUMINACION LED FRONTAL
- FUNCION TRANSMISION DEL DISEÑO INHALAMBRICO
- FUNCION SELECCION DEL BASTIDOR
- RESTABLECIMIENTO POR FALLO DE CORRIENTE EN UN SOLO TOQUE. OPCIONAL: SISTEMA RECONOCIMIENTO


INCLUYE:
2 X Aro 70, 2 X Aro 110, 2 X Aro 150, 2 X Aro 190, 2 X Aro 270*270 , 2 X Aro 530*330, 1 X Kit de Gorras, Bobinador de Canillas, 1 X Mesa plana, 1 X Bastidor Portal, 1 X Soporte de máquina.";import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3396;PEX(12+6)(1+1);PEX (12+6)(1+1);import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
3299;Q7270021;CUCHILLA MOVIL BARUDAN MARK 7;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3298;Q7270032;CUCHILLA FIJA BARUDAN MARK 7;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3250;RAYNENEDS;SOFTWARE BORDADO RAYNEN EDS;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3256;RIBETE12MM;RIBETE GROSGRAIN 12MM;import reciente;0.0;0;REVISAR: enlazar manualmente o archivar si no esta en WC
3407;RICOMA CHT 1202;RICOMA CHT 1202;import reciente;0.0;1;REVISAR: enlazar manualmente o archivar si no esta en WC
